sample,true_value,distance_cm
0,50.0,49.568
1,50.999,50.481
2,51.994,51.66
3,52.98,55.086
4,53.953,53.57
5,54.908,50.416
6,55.841,56.838
7,56.749,55.947
8,57.626,56.975
9,58.47,58.817
10,59.276,59.972
11,60.04,63.531
12,60.76,62.73
13,61.433,61.764
14,62.054,59.839
15,62.622,59.578
16,63.134,63.873
17,63.587,67.521
18,63.981,64.106
19,64.312,63.993
20,64.579,66.174
21,64.782,60.421
22,64.919,63.982
23,64.989,66.461
24,64.994,67.614
25,64.931,64.209
26,64.802,65.932
27,64.608,65.352
28,64.348,66.695
29,64.025,60.685
30,63.639,65.344
31,63.193,58.65
32,62.689,54.829
33,62.127,60.307
34,61.512,58.765
35,60.846,63.474
36,60.132,62.125
37,59.373,55.715
38,58.572,61.114
39,57.733,54.726
40,56.859,56.6
41,55.955,55.073
42,55.025,55.368
43,54.072,56.528
44,53.101,55.017
45,52.117,53.166
46,51.123,53.073
47,50.124,51.559
48,49.124,47.243
49,48.129,45.977
50,47.141,45.732
51,46.167,47.665
52,45.209,44.459
53,44.273,51.28
54,43.362,40.904
55,42.481,39.184
56,41.633,43.938
57,40.822,45.088
58,40.052,41.569
59,39.326,41.834
60,38.648,42.927
61,38.02,37.738
62,37.445,33.176
63,36.926,35.33
64,36.466,39.324
65,36.065,31.734
66,35.726,35.827
67,35.451,36.21
68,35.24,34.293
69,35.095,37.266
70,35.016,36.758
71,35.003,41.968
72,35.058,36.917
73,35.178,33.35
74,35.365,33.679
75,35.616,33.121
76,35.932,38.788
77,36.309,34.609
78,36.748,36.537
79,37.246,39.494
80,37.8,35.63
81,38.409,37.528
82,39.069,33.545
83,39.777,36.53
84,40.531,38.828
85,41.327,42.574
86,42.162,45.742
87,43.031,42.976
88,43.931,44.715
89,44.859,45.363
90,45.809,49.063
91,46.778,49.458
92,47.761,48.582
93,48.754,45.721
94,49.752,52.462
95,50.752,51.895
96,51.748,55.429
97,52.737,52.647
98,53.713,59.573
99,54.673,53.596
